benevole_id;prenom;nom;age;commune;email;telephone;dispo_vendredi;dispo_samedi;dispo_dimanche;editions_precedentes;PSC1_ou_samaritain;permis_B;vehicule;vehicule_4x4;apte_marche_montagne;pratique_trail;langues;roles_preferes;accepte_nuit;accepte_chef_de_poste;binome_souhaite;accompagnants;contraintes;commentaire_libre
B030;Sandra;Rappaz;24;Val-d'Illiez;sandra.rappaz@example.org;+41 79 813 75 35;;06:00-24:00;;2;False;True;True;False;True;True;FR,DE;dossards,logistique,parking;True;True;;0;;
B031;Bastien;Pittet;64;Collombey;bastien.pittet@example.org;+41 79 545 49 40;;06:00-13:00;13:00-18:00;0;False;False;False;False;False;True;DE,EN;serre_file;True;False;B032;0;;J'ai un chien, est-ce que je peux le prendre au ravito ?
B032;Céline;Monnay;29;Morgins;celine.monnay@example.org;+41 79 762 63 87;;06:00-13:00;13:00-18:00;2;True;True;False;False;False;False;FR,EN;dossards,pointage,ravitaillement;True;True;B031;0;;OK pour la nuit si on me ramène au Bouveret après.
B033;Pascal;Favre;61;Thonon (FR);pascal.favre@example.org;+41 79 286 65 37;;06:00-24:00;00:00-01:00,13:00-18:00;0;True;True;True;True;False;True;FR;serre_file;True;False;;0;;
B034;Jessica;Favre;31;Champéry;jessica.favre@example.org;+41 79 232 87 50;;06:00-24:00;;3;True;True;True;False;True;True;FR;pc_course,signaleur;False;True;;0;;
B035;Olivier;Morisod;19;Champéry;olivier.morisod@example.org;+41 79 235 87 83;14:00-19:30;06:00-24:00;;0;False;True;True;False;False;True;FR,DE,EN;dossards,ravitaillement,restauration;True;False;;0;;
B036;Valérie;Dubosson;29;Vouvry;valerie.dubosson@example.org;+41 79 228 80 41;;06:00-13:00;13:00-18:00;1;True;True;False;False;True;False;FR,DE,EN;dossards,restauration;True;True;;0;;
B037;Alexandre;Bender;24;Val-d'Illiez;alexandre.bender@example.org;+41 79 986 95 10;;07:00-14:00;;0;False;True;True;True;True;True;FR;dossards,signaleur;False;False;;0;;
B038;Nathalie;Bressoud;55;Vionnaz;nathalie.bressoud@example.org;+41 79 186 41 15;;15:00-24:00;00:00-01:00;5;True;True;True;True;True;True;FR,IT;pc_course;True;True;;0;;
B039;Romain;Fellay;61;Vionnaz;romain.fellay@example.org;+41 79 359 77 89;;06:00-24:00;00:00-01:00,13:00-18:00;0;False;True;True;True;False;True;DE,EN;parking,signaleur;False;False;;0;;
B040;Florence;Fellay;67;Troistorrents;florence.fellay@example.org;+41 79 239 30 90;;06:00-13:00;13:00-18:00;0;False;True;True;False;False;True;FR,EN;logistique,pointage,restauration;True;False;;0;;
B041;Christophe;Berrut;22;Vouvry;christophe.berrut@example.org;+41 79 330 81 53;;06:00-12:00;13:00-18:00;0;True;True;False;False;True;False;FR,DE,EN;restauration,signaleur;False;False;B042;0;;
B042;Mélanie;Clerc;67;Collombey;melanie.clerc@example.org;+41 79 116 10 37;;15:00-24:00;00:00-01:00;5;False;True;True;False;True;False;FR;dossards;False;False;B041;0;;
B043;Jérôme;Lattion;52;Vionnaz;jerôme.lattion@example.org;+41 79 292 10 87;;06:00-24:00;;1;False;True;True;True;True;True;FR,EN;arrivee,pc_course,signaleur;True;False;;0;;
B044;Stéphanie;Bressoud;17;Saint-Gingolph;stephanie.bressoud@example.org;+41 79 779 13 49;;12:00-24:00;;5;True;False;False;False;True;False;FR,DE,EN;signaleur,serre_file;True;False;;0;;
B045;Pierre-Alain;Praz;41;Champéry;pierrealain.praz@example.org;+41 79 232 29 66;;06:00-24:00;13:00-18:00;1;True;True;True;False;True;True;FR,DE;arrivee;False;True;;0;;
B046;Corinne;Grenon;71;Port-Valais;corinne.grenon@example.org;+41 79 498 33 89;;15:00-24:00;00:00-01:00;1;False;True;True;False;False;False;FR,DE;ravitaillement;True;False;;0;;Mettez-moi à Taney, j'adore cet endroit.
B047;Raphaël;Défago;71;Villeneuve;raphael.défago@example.org;+41 79 738 30 13;;06:00-24:00;;1;False;True;True;False;True;False;FR;logistique,pointage,ravitaillement;False;False;;0;;
B048;Sylvie;Vuadens;38;Le Bouveret;sylvie.vuadens@example.org;+41 79 991 82 92;;06:00-13:00;00:00-01:00;5;True;True;True;False;True;False;DE,EN;arrivee;True;True;;0;;
B049;Damien;Pellaud;58;Le Bouveret;damien.pellaud@example.org;+41 79 600 75 42;;06:00-24:00;00:00-01:00,13:00-18:00;0;True;False;False;False;True;True;FR,DE,EN;logistique,restauration;True;False;;0;;Première fois, mettez-moi où vous voulez.
B050;Pierre-Alain;Défago;24;Collombey;pa.defago@example.org;+41 79 512 44 18;14:00-19:30;06:00-24:00;;1;True;True;True;False;True;True;DE,EN;logistique;False;False;;0;;
B051;Pierre Alain;Defago;67;Troistorrents;pierrealain.defago@example.org;+41 79 512 44 18;;12:00-24:00;00:00-01:00;1;False;True;False;False;False;False;FR;arrivee,parking;False;False;;0;;Disponible mais je dois récupérer mes enfants à 17h.
B052;Josiane;Bonvin;64;Morgins;josiane.bonvin@example.org;+41 79 664 80 74;;06:00-13:00;13:00-18:00;0;True;True;True;False;True;False;FR,DE,EN;arrivee,dossards,pointage;True;False;;0;;
B053;Michel;Bender;41;Le Bouveret;michel.bender@example.org;+41 79 105 72 97;;06:00-24:00;00:00-01:00;0;False;True;True;False;True;False;FR,DE;logistique,pc_course,restauration;False;False;;0;;Je cours le Marathon (dossard 312) mais je peux aider le vendredi soir et le dimanche.
B054;Claudine;Rappaz;38;Thonon (FR);claudine.rappaz@example.org;+41 79 690 36 71;;07:00-14:00;;1;True;True;True;False;True;False;FR,DE,EN;dossards,logistique,ravitaillement;True;True;;0;;
B055;Gérard;Grenon;31;Val-d'Illiez;gerard.grenon@example.org;+41 79 427 51 96;;06:00-12:00;;8;False;True;True;False;True;True;FR,IT;navette,dossards;True;False;;0;;
B056;Lucie;Vuadens;22;Thonon (FR);lucie.vuadens@example.org;+41 79 448 14 72;;12:00-24:00;;3;True;True;True;True;False;False;DE,EN;pointage,serre_file;True;True;;0;;
B057;Hugo;Monnay;58;Morgins;hugo.monnay@example.org;+41 79 793 93 99;;06:00-24:00;;5;False;False;False;False;True;True;FR,DE,EN;ravitaillement;True;False;;0;;Je viens en train, pas de voiture.
B058;Noémie;Trombert;71;Vouvry;noemie.trombert@example.org;+41 79 224 25 39;;06:00-24:00;;0;False;True;True;True;True;False;FR,DE;ravitaillement,serre_file;False;False;;0;;Déjà fait Blancsex l'an dernier, je connais le poste.
B059;Arnaud;Gross;24;Champéry;arnaud.gross@example.org;+41 79 744 58 41;;15:00-24:00;00:00-01:00,13:00-18:00;3;False;True;False;False;True;False;FR,IT;parking,restauration;False;True;;0;;
B060;Maëlle;Mariétan;36;Thonon (FR);maelle.mariétan@example.org;+41 79 173 44 46;;12:00-24:00;;1;True;True;True;False;True;True;FR,DE;arrivee,dossards;True;False;;0;;Je peux apporter mon barnum 3x3 si besoin.
B061;Simon;Rey-Bellet;34;Port-Valais;simon.reybellet@example.org;+41 79 552 77 72;13:00-19:30;;13:00-18:00;0;True;True;True;False;True;True;FR,DE;signaleur;True;False;;0;pas de station debout prolongée;Pas de station debout prolongée (genou).
B062;Justine;Mariétan;61;Villeneuve;justine.mariétan@example.org;+41 79 750 13 36;;06:00-24:00;00:00-01:00,13:00-18:00;2;True;True;True;False;False;True;FR,EN;pc_course;False;True;;0;;
B063;Benoît;Gay-Balmaz;67;Thonon (FR);benoît.gaybalmaz@example.org;+41 79 516 95 42;;15:00-24:00;00:00-01:00;0;False;False;False;False;False;False;FR,EN;ravitaillement;False;True;;0;;
B064;Océane;Bender;48;Vionnaz;oceane.bender@example.org;+41 79 912 64 88;;15:00-24:00;00:00-01:00;0;False;True;True;False;True;True;DE,EN;logistique,parking,pointage;True;False;;0;;
B065;Lucas;Salamin;36;Collombey;lucas.salamin@example.org;+41 79 657 83 34;;06:00-24:00;13:00-18:00;2;False;True;True;False;True;False;FR,IT;parking,pc_course,ravitaillement;True;True;;0;;
B066;Amélie;Cornut;48;Champéry;amelie.cornut@example.org;+41 79 870 39 85;;12:00-24:00;00:00-01:00;0;True;True;True;False;True;True;DE,EN;pointage,serre_file;True;False;;0;;
B067;Guillaume;Roch;52;Martigny;guillaume.roch@example.org;+41 79 707 12 88;;06:00-13:00;13:00-18:00;1;True;True;True;True;False;False;DE,EN;dossards,pc_course,signaleur;True;False;;0;;Première fois, mettez-moi où vous voulez.
B068;Charlotte;Pittet;31;Port-Valais;charlotte.pittet@example.org;+41 79 570 44 47;13:00-19:30;06:00-24:00;;3;False;True;True;False;True;True;FR,DE,EN;pc_course;True;True;;0;;
B069;Xavier;Perrin;34;Évian (FR);xavier.perrin@example.org;+41 79 466 20 46;;07:00-14:00;;5;False;True;True;True;True;True;DE,EN;parking;True;False;;0;;
B070;Inès;Lattion;17;Morgins;ines.lattion@example.org;+41 79 597 81 39;;06:00-12:00;;0;False;False;False;False;True;False;FR;dossards;True;False;;0;;
B071;Killian;Michellod;17;Villeneuve;killian.michellod@example.org;+41 79 597 69 58;;12:00-24:00;00:00-01:00;3;False;False;False;False;False;True;FR,DE;logistique,pointage,ravitaillement;False;True;;0;;
B072;Zoé;Fellay;31;Val-d'Illiez;zoe.fellay@example.org;+41 79 820 61 14;;06:00-24:00;00:00-01:00,13:00-18:00;5;True;True;True;False;True;True;FR,DE;parking;True;True;;0;;
B073;Théo;Gay-Balmaz;55;Évian (FR);theo.gaybalmaz@example.org;+41 79 286 63 70;;06:00-24:00;;1;False;True;True;True;True;True;FR,DE,EN;pc_course;True;False;;0;;
B074;Margaux;Bonvin;24;Évian (FR);margaux.bonvin@example.org;+41 79 578 62 95;;06:00-13:00;13:00-18:00;0;False;False;False;False;True;True;DE,EN;ravitaillement;True;False;;0;;
B075;Julie;Clerc;64;Le Bouveret;julie.clerc@example.org;+41 79 415 67 79;;06:00-12:00;;0;True;True;True;False;True;False;FR;signaleur;True;False;;0;;
B076;Marc;Pellaud;55;Troistorrents;marc.pellaud@example.org;+41 79 371 42 44;;12:00-24:00;;1;False;True;True;False;False;True;FR,EN;dossards,logistique,signaleur;True;False;;0;;
B077;Sophie;Rey-Bellet;38;Vionnaz;sophie.reybellet@example.org;+41 79 437 86 85;;06:00-24:00;13:00-18:00;0;False;True;True;False;True;True;FR,DE,EN;dossards;True;False;;0;;
B078;Nicolas;Bender;34;Vionnaz;nicolas.bender@example.org;+41 79 461 29 29;;07:00-14:00;;1;True;True;False;False;True;False;DE,EN;dossards,parking,pc_course;True;False;;0;;
B079;Laura;Trombert;19;Saint-Gingolph;laura.trombert@example.org;+41 79 662 96 74;;12:00-24:00;00:00-01:00;8;True;True;True;True;True;False;FR,DE;pc_course,restauration;False;True;;0;;
B080;Thomas;Derivaz;34;Troistorrents;thomas.derivaz@example.org;+41 79 472 65 64;;08:00-18:00;;8;True;True;True;False;True;True;DE,EN;dossards,pointage,signaleur;True;True;;0;;
B081;Camille;Praz;67;Troistorrents;camille.praz@example.org;+41 79 824 62 26;;10:00-20:00;;8;True;True;True;False;True;False;FR,DE,EN;dossards;True;True;;0;;
B082;David;Clerc;58;Champéry;david.clerc@example.org;+41 79 433 86 48;;06:00-24:00;;5;True;True;False;False;False;False;FR,DE;arrivee,pc_course,restauration;True;True;;0;;Je préfère être avec des gens que je connais.
B083;Emma;Clerc;36;Monthey;emma.clerc@example.org;+41 79 704 14 18;;06:00-24:00;13:00-18:00;2;True;True;True;True;True;True;FR,IT;dossards,restauration;True;True;;0;;
B084;Yann;Rappaz;61;Monthey;yann.rappaz@example.org;+41 79 621 17 16;;12:00-24:00;;1;False;True;True;False;False;False;DE,EN;arrivee,dossards,serre_file;False;True;;0;;
B085;Léa;Vannay;31;Évian (FR);lea.bressoud@example.org;+41 79 390 65 51;13:00-19:00;06:00-24:00;13:00-18:00;5;False;True;True;False;True;False;DE,EN;parking,pc_course;True;True;;0;;
B086;Fabien;Zufferey;31;Monthey;fabien.zufferey@example.org;+41 79 348 68 74;;15:00-24:00;00:00-01:00;3;False;True;True;False;False;True;FR,DE,EN;pc_course;True;False;;0;;
B087;Anne;Barman;45;Aigle;anne.barman@example.org;+41 79 882 18 20;;15:00-24:00;00:00-01:00;0;False;False;False;False;False;True;FR,EN;pc_course,pointage;True;False;;0;;J'ai un chien, est-ce que je peux le prendre au ravito ?
B088;Cédric;Pellaud;34;Collombey;cedric.pellaud@example.org;+41 79 265 40 70;;08:00-18:00;;2;False;True;True;False;True;False;FR;ravitaillement,serre_file,signaleur;False;True;;0;;
B089;Marion;Perrin;34;Thonon (FR);marion.perrin@example.org;+41 79 542 17 61;;08:00-18:00;;0;False;False;False;False;True;False;FR;pc_course,ravitaillement;True;False;;0;;Je préfère être avec des gens que je connais.
B090;Loïc;Rey-Bellet;38;Collombey;loic.reybellet@example.org;+41 79 469 25 26;;12:00-24:00;;1;True;False;False;False;True;True;FR;pointage,signaleur;False;False;;0;;Je peux apporter mon barnum 3x3 si besoin.
B091;Chloé;Bochatay;41;Val-d'Illiez;chloe.bochatay@example.org;+41 79 458 84 85;;06:00-24:00;;5;False;True;False;False;True;True;FR,DE,EN;ravitaillement,serre_file;False;False;;0;;
B092;Steve;Pellaud;58;Martigny;steve.pellaud@example.org;+41 79 995 76 85;;12:00-24:00;;3;False;True;True;False;False;False;FR,IT;ravitaillement,restauration;True;True;;0;;
B093;Aurélie;Bressoud;45;Villeneuve;aurelie.bressoud@example.org;+41 79 729 30 34;;06:00-24:00;;1;True;True;True;True;True;True;FR,DE;dossards,ravitaillement,serre_file;True;False;;0;;
B094;Jonas;Défago;17;Villeneuve;jonas.défago@example.org;+41 79 868 69 55;;12:00-24:00;;0;False;False;False;False;True;True;FR,DE;arrivee,pointage;False;False;;0;;OK pour la nuit si on me ramène au Bouveret après.
B095;Manon;Bonvin;38;Troistorrents;manon.bonvin@example.org;+41 79 248 94 84;;12:00-24:00;00:00-01:00;0;True;True;True;False;True;False;FR,DE,EN;restauration;True;False;;0;;
B096;Vincent;Michellod;71;Villeneuve;vincent.michellod@example.org;+41 79 242 26 88;13:00-19:00;06:00-24:00;13:00-18:00;1;False;True;False;False;False;False;DE,EN;pointage,signaleur;True;False;;0;;
B097;Sarah;Grenon;24;Vionnaz;sarah.grenon@example.org;+41 79 939 84 38;;06:00-13:00;13:00-18:00;0;False;True;True;False;True;False;FR,EN;dossards;True;False;;0;;
B098;Kevin;Curdy;55;Champéry;kevin.curdy@example.org;+41 79 115 48 48;13:00-19:00;06:00-24:00;13:00-18:00;0;False;True;False;False;True;False;FR,DE;parking,pc_course,restauration;False;False;;0;;
B099;Elodie;Vannay;61;Villeneuve;elodie.vannay@example.org;+41 79 669 66 96;;08:00-18:00;;5;False;True;False;False;False;False;FR,DE;logistique,parking,ravitaillement;True;True;;0;;
B100;Sébastien;Vannay;52;Champéry;sebastien.vannay@example.org;+41 79 189 68 93;;08:00-18:00;;1;True;True;True;False;True;False;DE,EN;arrivee,pointage,ravitaillement;True;True;;0;;
