Prénom et nom;Téléphone;Quand je suis libre;Ce que je sais faire;Ce que je voudrais faire;Remarques;_id_verite
Fabien Carraux;+41 79 666 29 99;Je suis libre samedi dispo toute la journée et le soir;permis, ok pour monter à pied aux postes isolés, langues : allemand,anglais, déjà bénévole 8 fois;idéalement le PC course ou serre-file, je peux tenir un poste;Je viens avec 3 personnes, on prend un ravito ensemble.;B011
Anne Berrut;+41 79 359 24 53;samedi toute la journée et dimanche entre 13h et 18h;permis, j'ai une voiture, ok pour monter à pied aux postes isolés, langues : anglais, 8 édition(s) comme bénévole;les dossards ou la logistique ou le repas, ok pour être responsable de poste;;B012
Cédric Barman;+41 79 765 42 15;samedi de 17h à minuit, dimanche entre 13h et 18h;formation premiers secours à jour, randonneur, langues : allemand, déjà bénévole 2 fois;le PC course ou ravito ou signaleur sur la route, même poste que Marion, pas après 20h, chef de poste si besoin;j'ai 17 ans;B013
Marion Rappaz;+41 79 727 40 43;samedi 17h-minuit et dimanche entre 13h et 18h;j'ai le PSC1, permis, je marche bien en montagne, langues : anglais, déjà bénévole 2 fois;l'arrivée, même poste que Cédric, je ne fais pas la nuit;;B014
Loïc Michellod;+41 79 158 63 77;Je suis libre vendredi de 14h à 19h30, samedi toute la journée;permis, randonneur, langues : anglais;ravito;;B015
Chloé Mariétan;+41 79 239 12 36;Je suis libre samedi entre 8h et 18h;permis, pick-up 4x4 dispo, ok pour monter à pied aux postes isolés, j'ai déjà fait les ravitos;les dossards, je ne fais pas la nuit;;B016
Steve Favre;+41 79 198 80 16;samedi 7h-14h;samaritain, permis, ok pour monter à pied aux postes isolés, langues : italien;plutôt les dossards, je ne fais pas la nuit;;B017
Aurélie Vannay;+41 79 352 31 51;samedi de 6h à 13h, dimanche 13h-18h;permis, j'ai un 4x4, ok pour monter à pied aux postes isolés, langues : allemand;plutôt le repas ou signaleur sur la route, je ne fais pas la nuit;71 ans, encore en forme;B018
Jonas Bonvin;+41 79 869 16 53;samedi 10h-20h;permis, je marche bien en montagne, langues : allemand,anglais;plutôt le repas;J'ai un chien, est-ce que je peux le prendre au ravito ?;B019
Manon Zufferey;+41 79 231 25 54;samedi 10h-20h;formation premiers secours à jour, permis, trailer (plusieurs ultras), langues : italien;plutôt les dossards ou ravito ou serre-file, pas après 20h;;B020
Vincent Perrin;+41 79 424 27 10;samedi 17h-minuit et dimanche entre 13h et 18h;permis, langues : italien, déjà bénévole 1 fois;idéalement l'arrivée ou ravito ou serre-file, pas après 20h;;B021
Sarah Rappaz;+41 79 299 89 25;samedi de 6h à 13h, dimanche de 13h à 18h;j'ai le PSC1, je marche bien en montagne, je fais du trail, j'ai déjà fait les ravitos;plutôt les dossards ou la logistique ou le parking;;B022
Kevin Chevalley;+41 79 223 46 34;Je suis libre samedi de 17h à minuit, dimanche 13h-18h;permis, j'ai un 4x4, langues : allemand,anglais, déjà bénévole 8 fois;signaleur sur la route, pas la nuit, je peux tenir un poste;;B023
Elodie Grenon;+41 79 401 30 57;Je suis libre samedi 8h-18h;permis, véhiculé, randonneur, trailer (plusieurs ultras), langues : allemand, 3 édition(s) comme bénévole;idéalement le repas, chef de poste si besoin;Disponible mais je dois récupérer mes enfants à 17h.;B024
Sébastien Fornay;+41 79 140 44 42;Je suis libre samedi entre 8h et 18h;formation premiers secours à jour, permis, j'ai une voiture, ok pour monter à pied aux postes isolés, j'ai déjà fait les ravitos;idéalement les dossards ou la logistique, pas après 20h;Je préfère être avec des gens que je connais.;B025
Nadia Chevalley;+41 79 594 56 64;samedi 8h-18h;samaritain, permis, je marche bien en montagne, trailer (plusieurs ultras), langues : allemand,anglais;idéalement les dossards ou la logistique ou le PC course, pas après 20h;;B026
Grégory Pellaud;+41 79 627 60 22;samedi de 6h à 13h, dimanche de 13h à 18h;permis, j'ai une voiture, ok pour monter à pied aux postes isolés, langues : allemand, 5 édition(s) comme bénévole;plutôt le PC course ou le pointage ou le repas, ok pour être responsable de poste;OK pour la nuit si on me ramène au Bouveret après.;B027
Isabelle Vuadens;+41 79 961 94 83;samedi entre 12h et minuit;j'ai le PSC1, permis, 1 édition(s) comme bénévole;idéalement la logistique ou le repas ou serre-file;;B028
Mathieu Monnay;+41 79 296 62 79;samedi de 17h à minuit, dimanche entre 13h et 18h;permis, pick-up 4x4 dispo, langues : allemand;idéalement la logistique ou le PC course ou le repas, pas la nuit;J'ai un chien, est-ce que je peux le prendre au ravito ?;B029
Sandra Morisod;+41 79 532 70 97;samedi de 15h à minuit;permis, véhiculé, je marche bien en montagne, trailer (plusieurs ultras), langues : italien, déjà bénévole 8 fois;idéalement le PC course ou signaleur sur la route, ok pour être responsable de poste;OK pour la nuit si on me ramène au Bouveret après.;B030
Bastien Vuadens;+41 79 699 49 99;samedi 15h-minuit;permis, j'ai une voiture, langues : allemand;les dossards ou la logistique ou le parking, je veux être avec Céline Gross svp, pas après 20h;;B031
Céline Gross;+41 79 284 65 49;samedi 15h-minuit;j'ai le PSC1, permis, j'ai une voiture, 2 édition(s) comme bénévole;idéalement les dossards ou le repas, je veux être avec Bastien Vuadens svp, je ne fais pas la nuit, ok pour être responsable de poste;67 ans, encore en forme;B032
Pascal Roch;+41 79 721 36 81;samedi entre 6h et 12h;je fais du trail;plutôt les dossards, je ne fais pas la nuit;;B033
Jessica Favre;+41 79 552 33 65;samedi dispo toute la journée et le soir;formation premiers secours à jour, permis, j'ai une voiture, randonneur, langues : allemand, déjà bénévole 8 fois;idéalement l'arrivée;;B034
Olivier Vannay;+41 79 232 87 50;vendredi de 13h à 19h30 et dimanche entre 13h et 18h;randonneur, langues : allemand;les dossards ou la logistique, pas la nuit;j'ai 17 ans;B035
Valérie Praz;+41 79 654 67 61;samedi 12h-minuit;permis, véhiculé, randonneur, langues : anglais, 3 édition(s) comme bénévole;idéalement le PC course ou ravito ou le repas, pas la nuit, je peux tenir un poste;;B036
Alexandre Rappaz;+41 79 484 49 19;samedi toute la journée, dimanche entre 13h et 18h;j'ai le PSC1, permis, véhiculé, trailer (plusieurs ultras), langues : allemand,anglais;idéalement les dossards ou le repas;67 ans, encore en forme;B037
Nathalie Rey-Bellet;+41 79 473 63 48;samedi de 6h à 12h;permis, pick-up 4x4 dispo;ravito ou le repas;;B038
Romain Roch;+41 79 598 77 87;Je suis libre samedi de 7h à 14h;formation premiers secours à jour, ok pour monter à pied aux postes isolés, trailer (plusieurs ultras), j'ai déjà fait les ravitos;l'arrivée ou le PC course, ok pour être responsable de poste;j'ai 17 ans;B039
Florence Favre;+41 79 280 21 59;samedi toute la journée, dimanche de 13h à 18h;permis, j'ai un 4x4, déjà bénévole 3 fois;plutôt l'arrivée, pas après 20h, je peux tenir un poste;;B040
Christophe Praz;+41 79 111 99 14;Je suis libre vendredi 14h-19h30, samedi entre 6h et 12h;permis, j'ai une voiture, ok pour monter à pied aux postes isolés, langues : allemand,anglais, j'ai déjà fait les ravitos;le repas ou serre-file, même poste que Mélanie;;B041
Mélanie Barman;+41 79 388 23 31;Je suis libre samedi de 15h à minuit;permis, j'ai une voiture, ok pour monter à pied aux postes isolés, je fais du trail, langues : allemand,anglais, déjà bénévole 1 fois;plutôt ravito ou serre-file ou signaleur sur la route, je veux être avec Christophe Praz svp, je ne fais pas la nuit;71 ans, encore en forme;B042
Jérôme Rappaz;+41 79 808 73 46;vendredi entre 13h et 19h30 et dimanche 13h-18h;samaritain, permis, j'ai une voiture, je fais du trail, langues : anglais;plutôt le pointage ou serre-file ou signaleur sur la route;Je préfère être avec des gens que je connais.;B043
Stéphanie Curdy;+41 79 140 39 91;samedi du matin jusqu'à minuit;je marche bien en montagne, langues : anglais;idéalement signaleur sur la route ou serre-file;j'ai 17 ans;B044
Pierre-Alain Roch;+41 79 588 56 30;Je suis libre vendredi 14h-19h30, samedi du matin jusqu'à minuit;formation premiers secours à jour, permis, pick-up 4x4 dispo, randonneur, langues : italien, déjà bénévole 8 fois;plutôt ravito;;B045
Corinne Pittet;+41 79 868 87 97;vendredi entre 13h et 19h30, dimanche entre 13h et 18h;langues : allemand,anglais;plutôt ravito;Mettez-moi à Taney, j'adore cet endroit. 71 ans, encore en forme;B046
Raphaël Pellaud;+41 79 353 45 32;Je suis libre samedi entre 8h et 18h;j'ai le PSC1, permis, j'ai une voiture, ok pour monter à pied aux postes isolés, langues : allemand;plutôt le PC course ou ravito ou signaleur sur la route, pas la nuit;;B047
Sylvie Trombert;+41 79 219 94 19;samedi de 6h à 13h;permis, j'ai une voiture, ok pour monter à pied aux postes isolés, je fais du trail, langues : allemand, j'ai déjà fait les ravitos;l'arrivée, pas après 20h;;B048
Damien Derivaz;+41 79 308 51 89;samedi entre 8h et 18h;langues : allemand;plutôt la logistique ou le pointage ou ravito;j'ai 17 ans;B049
Pierre-Alain Défago;+41 79 512 44 18;samedi de 17h à minuit et dimanche entre 13h et 18h;permis, véhiculé, randonneur, trailer (plusieurs ultras), j'ai déjà fait les ravitos;plutôt le parking ou signaleur sur la route, chef de poste si besoin;;B050
Pierre Alain Defago;+41 79 512 44 18;Je suis libre samedi de 12h à minuit;permis, j'ai une voiture, ok pour monter à pied aux postes isolés, langues : anglais, 2 édition(s) comme bénévole;idéalement la logistique, pas la nuit;;B051
Josiane Gex-Fabry;+41 79 157 17 87;samedi de 10h à 20h;je marche bien en montagne, trailer (plusieurs ultras), langues : italien, j'ai déjà fait les ravitos;idéalement l'arrivée ou le pointage, pas la nuit;;B052
Michel Perrin;+41 79 948 34 62;Je cours le Marathon samedi (dossard 312) mais je peux aider le vendredi soir et le dimanche après-midi;samaritain, permis, véhiculé, je marche bien en montagne, langues : italien, j'ai déjà fait les ravitos;plutôt le parking ou le pointage, pas la nuit;Je cours le Marathon (dossard 312) mais je peux aider le vendredi soir et le dimanche. 67 ans, encore en forme;B053
Claudine Berrut;+41 79 419 87 19;Je suis libre samedi toute la journée, dimanche de 13h à 18h;permis, ok pour monter à pied aux postes isolés, langues : allemand,anglais, j'ai déjà fait les ravitos;plutôt l'arrivée, je peux tenir un poste;OK pour la nuit si on me ramène au Bouveret après. 67 ans, encore en forme;B054
Gérard Rouiller;+41 79 944 72 97;Je suis libre samedi entre 6h et 12h;permis, j'ai une voiture, randonneur, langues : italien, déjà bénévole 1 fois;navette ou les dossards;;B055
Lucie Bender;+41 79 328 91 30;samedi entre 6h et 13h et dimanche entre 13h et 18h;randonneur, langues : allemand,anglais, 8 édition(s) comme bénévole;idéalement le PC course ou serre-file, chef de poste si besoin;Je peux apporter mon barnum 3x3 si besoin.;B056
Hugo Favre;+41 79 312 38 76;Je suis libre samedi dispo toute la journée et le soir;je fais du trail, langues : italien, déjà bénévole 2 fois;plutôt ravito, pas après 20h, je peux tenir un poste;Je viens en train, pas de voiture.;B057
Noémie Saudan;+41 79 932 19 43;samedi 7h-14h;permis, véhiculé, je marche bien en montagne, langues : italien;idéalement ravito ou serre-file;;B058
Arnaud Bender;+41 79 730 52 88;samedi de 15h à minuit;j'ai le PSC1, permis, j'ai un 4x4, randonneur, langues : allemand,anglais;l'arrivée ou le parking, pas la nuit;;B059
Maëlle Bender;+41 79 387 20 62;Je suis libre samedi du matin jusqu'à minuit;formation premiers secours à jour, randonneur, langues : anglais, déjà bénévole 8 fois;plutôt les dossards ou le parking ou ravito, ok pour être responsable de poste;j'ai 17 ans;B060
Simon Mariétan;+41 79 983 67 13;samedi de 6h à 12h;permis, j'ai une voiture, randonneur, je fais du trail, langues : allemand,anglais;signaleur sur la route;Pas de station debout prolongée (genou). pas de station debout prolongée;B061
Justine Grenon;+41 79 711 87 97;samedi 10h-20h;permis, j'ai une voiture, je marche bien en montagne, langues : italien, j'ai déjà fait les ravitos;la logistique ou le parking ou le pointage, je ne fais pas la nuit, ok pour être responsable de poste;;B062
Benoît Gay-Balmaz;+41 79 673 57 53;samedi 12h-minuit;j'ai le PSC1, permis, véhiculé, trailer (plusieurs ultras), langues : anglais;plutôt ravito, chef de poste si besoin;;B063
Océane Chevalley;+41 79 745 63 52;samedi dispo toute la journée et le soir;permis, véhiculé, j'ai déjà fait les ravitos;la logistique ou serre-file ou signaleur sur la route, ok pour être responsable de poste;Je préfère être avec des gens que je connais.;B064
Lucas Rouiller;+41 79 216 41 81;samedi toute la journée;samaritain, permis, véhiculé, langues : allemand,anglais, j'ai déjà fait les ravitos;plutôt le parking ou le repas;71 ans, encore en forme;B065
Amélie Perrin;+41 79 333 65 60;samedi de 12h à minuit;permis, j'ai une voiture, trailer (plusieurs ultras), langues : italien, déjà bénévole 1 fois;plutôt les dossards, pas la nuit;;B066
Guillaume Grenon;+41 79 266 80 95;samedi 6h-12h;permis, véhiculé, randonneur, trailer (plusieurs ultras), langues : allemand, déjà bénévole 5 fois;plutôt le repas;;B067
Charlotte Derivaz;+41 79 947 24 93;Je suis libre samedi entre 6h et 12h;permis, véhiculé, j'ai déjà fait les ravitos;l'arrivée ou le PC course ou signaleur sur la route, pas la nuit;;B068
Xavier Pittet;+41 79 390 43 65;samedi 6h-12h;formation premiers secours à jour, je marche bien en montagne, langues : allemand,anglais, déjà bénévole 2 fois;plutôt le repas ou signaleur sur la route, pas après 20h;;B069
Inès Favre;+41 79 403 79 24;Je suis libre samedi de 6h à 12h;permis, j'ai une voiture, ok pour monter à pied aux postes isolés, langues : allemand;plutôt le pointage;Je viens en train, pas de voiture.;B070
Killian Curdy;+41 79 168 82 65;vendredi entre 14h et 19h30, samedi du matin jusqu'à minuit;permis, pick-up 4x4 dispo, je marche bien en montagne, trailer (plusieurs ultras), langues : italien;plutôt l'arrivée ou le pointage;;B071
Zoé Vannay;+41 79 349 10 94;vendredi 13h-19h30 et dimanche entre 13h et 18h;permis, véhiculé, randonneur, langues : allemand,anglais, 2 édition(s) comme bénévole;plutôt le parking ou le PC course ou ravito;;B072
Théo Barman;+41 79 176 19 19;Je suis libre samedi entre 7h et 14h;langues : anglais, 3 édition(s) comme bénévole;plutôt le PC course ou le repas, je peux tenir un poste;Je parle allemand, utile pour les coureurs suisses alémaniques.;B073
Margaux Cornut;+41 79 381 15 71;samedi 12h-minuit;je fais du trail, langues : allemand,anglais, 2 édition(s) comme bénévole;le repas, je ne fais pas la nuit;;B074
Julie Rouiller;+41 79 237 78 84;Je suis libre samedi 7h-14h;j'ai le PSC1, permis, véhiculé, ok pour monter à pied aux postes isolés, langues : italien, j'ai déjà fait les ravitos;idéalement l'arrivée;;B075
